Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-20 00:00:00,2020-01-21 00:00:00,2020-01-22 00:00:00,2020-01-23 00:00:00,2020-01-24 00:00:00,2020-01-25 00:00:00,2020-01-26 00:00:00,2020-01-27 00:00:00,2020-01-28 00:00:00,2020-01-29 00:00:00,2020-01-30 00:00:00,2020-01-31 00:00:00,2020-02-01 00:00:00,2020-02-02 00:00:00,2020-02-03 00:00:00,2020-02-04 00:00:00,2020-02-05 00:00:00,2020-02-06 00:00:00,2020-02-07 00:00:00,2020-02-08 00:00:00,2020-02-09 00:00:00,2020-02-10 00:00:00,2020-02-11 00:00:00,2020-02-12 00:00:00,2020-02-13 00:00:00,2020-02-14 00:00:00,2020-02-15 00:00:00,2020-02-16 00:00:00,2020-02-17 00:00:00,2020-02-18 00:00:00,2020-02-19 00:00:00,2020-02-20 00:00:00,2020-02-21 00:00:00,2020-02-22 00:00:00,2020-02-23 00:00:00,2020-02-24 00:00:00,2020-02-25 00:00:00,2020-02-26 00:00:00,2020-02-27 00:00:00,2020-02-28 00:00:00,2020-02-29 00:00:00
Ulanqab,Inner Mongolia Autonomous Region,乌兰察布市,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,,,
Hinggan League,Inner Mongolia Autonomous Region,兴安盟,内蒙古自治区,,,,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,,
Alxa League,Inner Mongolia Autonomous Region,阿拉善盟,内蒙古自治区,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Shenyang,Liaoning,沈阳市,辽宁省,,,1.0,2.0,3.0,5.0,6.0,7.0,8.0,9,10,12,12,13,15,18,23,23,25,26,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.0,,,
Dalian,Liaoning,大连市,辽宁省,,,1.0,1.0,2.0,4.0,4.0,5.0,5.0,5,7,8,10,12,12,13,14,14,14,16,16,16,16,16,17,18,18,19,19,19,19,19,19,19,19,19,19,19.0,,,
Anshan,Liaoning,鞍山市,辽宁省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4.0,,,
Benxi,Liaoning,本溪市,辽宁省,,,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,,,
Dandong,Liaoning,丹东市,辽宁省,,,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0,,,
Jinzhou,Liaoning,锦州市,辽宁省,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,4,7,7,7,7,7,7,7,8,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0,,,
Yingkou,Liaoning,营口市,辽宁省,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,,
Fuxin,Liaoning,阜新市,辽宁省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,3,5,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0,,,
Liaoyang,Liaoning,辽阳市,辽宁省,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,,,
Tieling,Liaoning,铁岭市,辽宁省,,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2,2,3,3,3,3,3,3,3,3,3,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0,,,
Chaoyang,Liaoning,朝阳市,辽宁省,,,0.0,1.0,2.0,2.0,2.0,2.0,3.0,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,,,
Panjin,Liaoning,盘锦市,辽宁省,,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2,3,7,7,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.0,,,
Huludao,Liaoning,葫芦岛市,辽宁省,,,0.0,0.0,2.0,2.0,2.0,2.0,3.0,4,4,5,5,5,5,6,7,7,9,9,9,9,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12.0,,,
Fushun,Liaoning,抚顺市,辽宁省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Changchun,Jilin,长春市,吉林省,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,7,13,17,18,28,29,32,32,37,39,40,42,42,43,44,45,45,45,45,45,45,45,45,45,45,45,45.0,,,
Siping,Jilin,四平市,吉林省,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,4,7,8,9,10,10,12,12,12,12,13,14,14,14,13,13,14,14,14,14,14,14,14,14,14.0,,,
Jilin,Jilin,吉林市,吉林省,,,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,,,
Yanbian Korean Autonomous Prefecture,Jilin,延边朝鲜族自治州,吉林省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,,,
Gongzhuling,Jilin,公主岭,吉林省,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,3,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,,,
Songyuan,Jilin,松原市,吉林省,,,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3.0,,,
Tonghua,Jilin,通化市,吉林省,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,6,6,6,6.0,,,
Liaoyuan,Jilin,辽源市,吉林省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,3,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7.0,,,
Meihekou,Jilin,梅河口,吉林省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,,
Baicheng,Jilin,白城市,吉林省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,,,
Baishan,Jilin,白山市,吉林省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Harbin,Heilongjiang,哈尔 滨市,黑龙江省,,,1.0,1.0,6.0,8.0,8.0,10.0,11.0,13,18,25,34,45,63,73,82,94,100,114,128,146,150,159,164,167,182,188,190,192,194,197,197,198,198,198,198,198.0,,,
Shuangyashan,Heilongjiang,双鸭山市,黑龙江省,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,4,7,12,16,20,36,36,38,38,38,39,39,48,48,49,50,52,52,52,52,52,52,52,52,52,52.0,,,
Suihua,Heilongjiang,绥化市,黑龙江省,,,0.0,1.0,1.0,2.0,3.0,8.0,8.0,10,12,13,14,16,22,24,29,39,44,35,37,39,43,45,45,46,46,46,46,47,47,47,47,47,47,47,47,47.0,,,
Jixi,Heilongjiang,鸡西市,黑龙江省,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,4,4,6,9,12,21,29,31,34,34,38,43,44,44,45,46,46,46,46,46,46,46,46,46,46,46,46.0,,,
Qiqihar,Heilongjiang,齐齐哈尔市,黑龙江省,,,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3,3,3,3,3,6,20,26,27,27,27,30,32,33,33,36,36,38,42,43,43,43,43,43,43,43,43,43,43.0,,,
Daqing,Heilongjiang,大庆市,黑龙江省,,,0.0,1.0,1.0,3.0,5.0,5.0,5.0,5,7,8,8,11,11,11,13,13,13,13,13,14,15,15,18,19,19,20,20,23,26,26,26,26,26,26,26,26.0,,,
Qitaihe,Heilongjiang,七台河市,黑龙江省,,,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2,3,5,6,7,8,9,9,10,11,13,14,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17.0,,,
Jiamusi,Heilongjiang,佳木斯市,黑龙江省,,,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5,8,11,11,11,11,11,12,13,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0,,,
Heihe,Heilongjiang,黑河市,黑龙江省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,2,2,4,4,6,10,13,13,14,14,14,14,14,14,14,14,14,14,14,14.0,,,
Mudanjiang,Heilongjiang,牡丹江市,黑龙江省,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2,6,7,8,8,9,10,11,13,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14.0,,,
Hegang,Heilongjiang,鹤岗市,黑龙江省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,2,2,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,,,
