Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
Hengshui,Hebei,衡水,河北省,,,,0.0,0.0,0.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8,8,8,8,8,8,8,8,8,8,8,8.0,,,
Chengde,Hebei,承德,河北省,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7,7,7,7,7,7,7,7.0,,,
Taiyuan,Shanxi,太原,山西省,,,,,2.0,2.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,9.0,9.0,11.0,11.0,12.0,15.0,17.0,18.0,18.0,18.0,18.0,19.0,19,19,19,19,19,20,20,20,20,20,20,20.0,,,
Datong,Shanxi,大同,山西省,,,,,1.0,1.0,1.0,4.0,5.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12,12,12,12,12,12,12,12,12,12,12,12.0,,,
Yangquan,Shanxi,陽泉,山西省,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4.0,,,
Changzhi,Shanxi,長治,山西省,,,,,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8,8,8,8,8,8,8,8,8,8,8,8.0,,,
Jincheng,Shanxi,晉城,山西省,,,,,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9,9,9,10,10,10,10,10,10,10,10,10.0,,,
Shuozhou,Shanxi,朔州,山西省,,,,,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,8,8,8,8,8,8,8,8,8,8.0,,,
Jinzhong,Shanxi,晉中,山西省,,,,,2.0,2.0,5.0,9.0,9.0,11.0,13.0,15.0,19.0,21.0,26.0,27.0,27.0,30.0,32.0,32.0,33.0,34.0,35.0,35.0,35.0,35,36,36,36,36,36,36,36,36,37,37,37.0,,,
Xinzhou,Shanxi,忻州,山西省,,,,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7,7,7,7,7,7,7,7.0,,,
Yuncheng,Shanxi,運城,山西省,,,,,2.0,2.0,3.0,7.0,8.0,10.0,10.0,13.0,16.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19,19,19,19,19,19,19,19,19,19,19,19.0,,,
Linfen,Shanxi,臨汾,山西省,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2.0,,,
LuLiang,Shanxi,呂梁,山西省,,,,,0.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6,6,6,6,6,6,6.0,,,
