Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
Anqing,Anhui,安慶市,安徽省,0.0,0.0,1.0,4.0,5.0,8.0,8.0,14.0,18.0,18.0,37.0,43.0,47.0,55.0,56.0,60.0,66.0,71.0,75.0,78.0,80.0,80.0,80.0,81.0,82.0,82,83,83,83,83,83,83,83,83,83,83,83.0,,,
Chizhou,Anhui,池州市,安徽省,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,6.0,10.0,11.0,11.0,11.0,11.0,12.0,15.0,15.0,16.0,16.0,17.0,17.0,17,17,17,17,17,17,17,17,17,17,17,17.0,,,
Ma'anshan,Anhui,馬鞍山市,安徽省,0.0,0.0,0.0,4.0,7.0,7.0,10.0,11.0,14.0,14.0,22.0,27.0,28.0,28.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,32.0,32.0,34.0,35.0,36,36,36,37,37,37,38,38,38,38,38,38.0,,,
Fuyang ,Anhui,阜陽市,安徽省,0.0,1.0,2.0,7.0,10.0,10.0,21.0,23.0,28.0,38.0,47.0,59.0,65.0,79.0,84.0,95.0,105.0,113.0,118.0,125.0,132.0,138.0,142.0,146.0,150.0,152,153,154,155,155,155,155,155,155,155,155,155.0,,,
Chuzhou,Anhui,宿州市,安徽省,0.0,0.0,0.0,0.0,2.0,3.0,3.0,9.0,10.0,10.0,12.0,14.0,21.0,23.0,24.0,25.0,27.0,28.0,28.0,31.0,33.0,36.0,38.0,39.0,39.0,39,40,41,41,41,41,41,41,41,41,41,41.0,,,
Bengbu,Anhui,蚌埠市,安徽省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,37.0,43.0,48.0,64.0,88.0,99.0,115.0,126.0,134.0,141.0,146.0,149.0,153.0,157,158,158,159,160,160,160,160,160,160,160,160.0,,,
Bozhou,Anhui,亳州市,安徽省,0.0,1.0,1.0,4.0,6.0,6.0,8.0,15.0,20.0,20.0,25.0,30.0,39.0,48.0,58.0,66.0,72.0,81.0,87.0,92.0,92.0,97.0,100.0,106.0,107.0,108,108,108,108,108,108,108,108,108,108,108,108.0,,,
Huaibei,Anhui,淮北市,安徽省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,11.0,14.0,17.0,22.0,22.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,26,27,27,27,27,27,27,27,27,27,27,27.0,,,
Wuhu,Anhui,蕪湖市,安徽省,0.0,0.0,0.0,1.0,3.0,6.0,9.0,11.0,14.0,14.0,15.0,16.0,16.0,21.0,23.0,26.0,27.0,29.0,29.0,30.0,31.0,31.0,31.0,31.0,31.0,31,31,33,33,33,33,33,33,33,33,33,33.0,,,
Tongling,Anhui,銅陵市,安徽省,0.0,0.0,0.0,3.0,3.0,3.0,9.0,9.0,10.0,14.0,16.0,16.0,18.0,19.0,19.0,20.0,22.0,23.0,24.0,25.0,27.0,27.0,28.0,28.0,28.0,28,28,29,29,29,29,29,29,29,29,29,29.0,,,
Huainan,Anhui,淮南市,安徽省,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,7.0,8.0,12.0,12.0,14.0,21.0,22.0,23.0,24.0,24.0,23.0,23.0,23.0,24,25,27,27,27,27,27,27,27,27,27,27.0,,,
Suzhou,Anhui,滁州市,安徽省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,13,13,13,13,13,13,13,13,13,13,13,13.0,,,
Lu'an,Anhui,六安市,安徽省,1.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,8.0,9.0,13.0,13.0,20.0,30.0,34.0,36.0,41.0,51.0,54.0,57.0,59.0,59.0,60.0,61.0,63.0,65,68,68,69,69,69,69,69,69,69,69,69.0,,,
Xuancheng,Anhui,宣城市,安徽省,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6,6,6,6,6,6,6.0,,,
Huangshan,Anhui,黃山市,安徽省,0.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9,9,9,9,9,9,9,9,9,9,9,9.0,,,
Fuzhou,Fujian,福州,福建省,,,,,,,,24.0,30.0,32.0,39.0,44.0,47.0,53.0,55.0,56.0,57.0,59.0,62.0,63.0,63.0,64.0,64.0,66.0,66.0,68,69,71,71,71,71,71,71,71,71,71,72.0,,,
Xiamen,Fujian,廈門,福建省,,,,,,,,6.0,7.0,13.0,17.0,1.0,19.0,20.0,21.0,21.0,23.0,25.0,25.0,28.0,31.0,32.0,34.0,34.0,34.0,34,35,35,35,35,35,35,35,35,35,35,35.0,,,
Quanzhou,Fujian,漳州,福建省,,,,,,,,6.0,7.0,8.0,11.0,12.0,13.0,13.0,15.0,16.0,16.0,16.0,16.0,16.0,17.0,19.0,19.0,19.0,20.0,20,20,20,20,20,20,20,20,20,20,20,20.0,,,
Quanzhou,Fujian,泉州,福建省,,,,,,,,13.0,18.0,22.0,24.0,29.0,31.0,35.0,37.0,3.0,40.0,40.0,42.0,42.0,43.0,43.0,44.0,44.0,46.0,46,46,46,46,46,46,46,46,46,47,47,47.0,,,
Sanming,Fujian,三明,福建省,,,,,,,,8.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13,14,14,14,14,14,14,14,14,14,14,14.0,,,
Putian,Fujian,蒲田,福建省,,,,,,,,14.0,17.0,22.0,25.0,27.0,34.0,37.0,38.0,42.0,44.0,47.0,47.0,51.0,51.0,52.0,54.0,54.0,55.0,55,55,55,55,55,55,55,55,55,55,55,56.0,,,
Nanping,Fujian,南平,福建省,,,,,,,,3.0,3.0,3.0,8.0,8.0,11.0,11.0,12.0,12.0,12.0,14.0,16.0,18.0,19.0,19.0,20.0,20.0,20.0,20,20,20,20,20,20,20,20,20,20,20,20.0,,,
Longyan,Fujian,龍岩,福建省,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6,6,6,6,6,6,6.0,,,
Ningde,Fujian,寧德,福建省,,,,,,,,7.0,8.0,9.0,9.0,9.0,12.0,12.0,14.0,16.0,16.0,21.0,23.0,24.0,24.0,24.0,25.0,25.0,25.0,25,25,25,26,26,26,26,26,26,26,26,26.0,,,
Nanchang,Jiangxi,南昌,江西省,,,2.0,3.0,4.0,8.0,17.0,25.0,46.0,67.0,83.0,89.0,103.0,124.0,134.0,149.0,162.0,179.0,189.0,195.0,204.0,210.0,217.0,222.0,227.0,228,229,230,229,229,229,229,229,229,229,229,,,,
Xinyu,Jiangxi,新余,江西省,,,1.0,1.0,1.0,3.0,3.0,11.0,11.0,28.0,40.0,43.0,50.0,59.0,69.0,78.0,7.0,95.0,100.0,105.0,110.0,117.0,121.0,124.0,127.0,129,129,129,130,130,130,130,130,130,130,130,,,,
Shangrao,Jiangxi,上饒,江西省,,,0.0,2.0,6.0,6.0,7.0,9.0,11.0,12.0,16.0,19.0,32.0,50.0,69.0,78.0,86.0,92.0,98.0,103.0,111.0,116.0,119.0,122.0,123.0,123,123,123,123,123,123,123,123,123,123,123,,,,
Jiujiang,Jiangxi,九江,江西省,,,1.0,2.0,2.0,4.0,9.0,16.0,31.0,42.0,43.0,55.0,64.0,78.0,86.0,92.0,95.0,97.0,100.0,101.0,101.0,105.0,109.0,114.0,115.0,117,117,118,118,118,118,118,118,118,118,118,,,,
Yichun,Jiangxi,宜春,江西省,,,0.0,1.0,5.0,6.0,10.0,14.0,14.0,26.0,29.0,31.0,36.0,45.0,48.0,54.0,62.0,67.0,74.0,77.0,83.0,88.0,95.0,101.0,102.0,104,106,106,106,106,106,106,106,106,106,106,,,,
Ganzhou,Jiangxi,贛州,江西省,,,0.0,2.0,7.0,7.0,10.0,16.0,21.0,27.0,30.0,34.0,35.0,42.0,48.0,52.0,59.0,64.0,69.0,71.0,72.0,72.0,76.0,76.0,76.0,76,76,76,76,76,76,76,76,76,76,76,,,,
Fuzhou,Jiangxi,撫州,江西省,,,1.0,4.0,6.0,7.0,8.0,9.0,13.0,15.0,18.0,24.0,29.0,43.0,44.0,46.0,56.0,56.0,59.0,63.0,64.0,67.0,68.0,69.0,71.0,72,72,72,72,72,72,72,72,72,72,72,,,,
Pingxiang,Jiangxi,萍鄉,江西省,,,1.0,1.0,2.0,2.0,2.0,2.0,5.0,8.0,9.0,15.0,18.0,20.0,22.0,23.0,24.0,24.0,24.0,25.0,26.0,29.0,31.0,32.0,32.0,33,33,33,33,33,33,33,33,33,33,33,,,,
Gian,Jiangxi,吉安,江西省,,,1.0,1.0,2.0,3.0,3.0,4.0,5.0,8.0,11.0,12.0,13.0,15.0,15.0,15.0,16.0,17.0,17.0,18.0,19.0,21.0,20.0,20.0,20.0,21,21,22,22,22,22,22,22,22,22,22,,,,
Yingtan,Jiangxi,鷹潭,江西省,,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,11.0,12.0,14.0,18.0,18.0,18.0,18.0,18,18,18,18,18,18,18,18,18,18,18,,,,
Jingde,Jiangxi,景德,江西省,,,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,6,6,6,6,6,6,6,6,6,6,,,,
Ganjiang Xsin,Jiangxi,贛江新區,江西省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,,,,
Jinan,Shandong,濟南市,山东省,,,,2.0,3.0,7.0,10.0,11.0,14.0,16.0,18.0,19.0,22.0,25.0,29.0,33.0,39.0,42.0,42.0,44.0,46.0,47.0,47.0,47.0,47.0,47,47,47,47,47,47,47,47,47,47,47,47.0,47.0,,
Qingdao,Shandong,青島市,山东省,,,,4.0,6.0,10.0,13.0,15.0,17.0,21.0,21.0,21.0,24.0,26.0,32.0,35.0,43.0,46.0,47.0,52.0,53.0,53.0,53.0,53.0,56.0,57,57,58,59,59,59,59,59,60,60,60,60.0,60.0,,
zibo,Shandong,淄博市,山东省,,,,0.0,0.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,12.0,12.0,14.0,14.0,15.0,15.0,16.0,17.0,20.0,20.0,23.0,28.0,29.0,29,29,29,29,29,30,30,30,30,30,30,30.0,30.0,,
Zaozhuang,Shandong,棗莊市,山东省,,,,0.0,0.0,0.0,2.0,8.0,8.0,9.0,11.0,14.0,15.0,16.0,17.0,17.0,19.0,19.0,21.0,21.0,23.0,23.0,23.0,23.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24.0,24.0,,
Yantai,Shandong,煙臺市,山东省,,,,2.0,2.0,4.0,8.0,10.0,13.0,18.0,20.0,20.0,26.0,26.0,27.0,30.0,34.0,35.0,37.0,39.0,41.0,43.0,46.0,46.0,46.0,46,47,47,47,47,47,47,47,47,47,47,47.0,47.0,,
Weifang,Shandong,濰坊市,山东省,,,,1.0,2.0,3.0,3.0,5.0,7.0,8.0,9.0,10.0,13.0,13.0,16.0,21.0,27.0,29.0,34.0,37.0,38.0,38.0,38.0,41.0,42.0,43,44,44,44,44,44,44,44,44,44,44,44.0,44.0,,
Jining,Shandong,濟寧市,山东省,,,,2.0,4.0,5.0,5.0,5.0,8.0,8.0,11.0,14.0,18.0,21.0,25.0,32.0,35.0,38.0,39.0,39.0,41.0,42.0,43.0,46.0,49.0,51,52,52,52,52,253,253,257,257,258,258,258.0,258.0,,
Tai'an,Shandong,泰安市,山东省,,,,0.0,0.0,0.0,1.0,3.0,3.0,3.0,5.0,9.0,11.0,12.0,14.0,18.0,20.0,20.0,24.0,31.0,32.0,32.0,32.0,32.0,32.0,32,32,32,33,34,35,35,35,35,35,35,35.0,35.0,,
Weihai,Shandong,威海市,山东省,,,,3.0,4.0,7.0,10.0,11.0,14.0,19.0,24.0,24.0,25.0,25.0,27.0,29.0,31.0,33.0,34.0,35.0,37.0,38.0,38.0,38.0,38.0,38,38,38,38,38,38,38,38,38,38,38,38.0,38.0,,
Rizhao,Shandong,日照市,山东省,,,,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16,16,16,16,16,16,16,16,16,16,16,16.0,16.0,,
Linyi ,Shandong,臨沂市,山东省,,,,3.0,7.0,7.0,8.0,15.0,16.0,20.0,23.0,24.0,24.0,27.0,30.0,32.0,35.0,38.0,40.0,42.0,44.0,45.0,45.0,47.0,47.0,47,48,48,49,49,49,49,49,49,49,49,49.0,49.0,,
Dezhou,Shandong,德州市,山东省,,,,1.0,3.0,6.0,8.0,11.0,11.0,16.0,17.0,19.0,19.0,19.0,19.0,26.0,27.0,28.0,30.0,32.0,32.0,33.0,35.0,35.0,36.0,37,37,37,37,37,37,37,37,37,37,37,37.0,37.0,,
Liaocheng,Shandong,聊城市,山东省,,,,1.0,1.0,1.0,3.0,3.0,5.0,7.0,8.0,9.0,10.0,10.0,12.0,15.0,20.0,27.0,33.0,34.0,37.0,38.0,38.0,38.0,38.0,38,38,38,38,38,38,38,38,38,38,38,38.0,38.0,,
Binzhou,Shandong,濱州市,山东省,,,,0.0,1.0,3.0,4.0,6.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,14.0,14.0,15.0,15,15,15,15,15,15,15,15,15,15,15,15.0,15.0,,
Heze,Shandong,菏澤市,山东省,,,,0.0,1.0,3.0,4.0,7.0,7.0,8.0,8.0,9.0,10.0,12.0,12.0,13.0,14.0,14.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18,18,18,18,18,18,18,18,18,18,18,18.0,18.0,,
Xinyang,Henan,信陽,河南省,,,1.0,6.0,22.0,23.0,29.0,32.0,42.0,49.0,70.0,88.0,99.0,112.0,138.0,164.0,176.0,192.0,205.0,220.0,228.0,231.0,240.0,243.0,252.0,261,262,266,268,269,270,273,274,274,274,274,,,,
Zhengzhou,Henan,鄭州,河南省,,,5.0,8.0,20.0,29.0,37.0,40.0,46.0,50.0,56.0,65.0,72.0,85.0,92.0,102.0,112.0,120.0,126.0,130.0,132.0,137.0,141.0,142.0,144.0,148,151,154,156,156,157,157,157,157,157,157,,,,
Nanyang,Henan,南陽,河南省,,,0.0,0.0,8.0,15.0,19.0,26.0,31.0,51.0,61.0,66.0,76.0,84.0,99.0,107.0,111.0,118.0,128.0,133.0,134.0,136.0,138.0,145.0,146.0,150,151,154,155,155,155,155,155,155,155,155,,,,
Zhumadian,Henan,駐馬店,河南省,,,0.0,2.0,7.0,9.0,10.0,16.0,25.0,30.0,40.0,46.0,58.0,72.0,82.0,98.0,106.0,113.0,116.0,123.0,126.0,128.0,134.0,137.0,138.0,138,139,139,139,139,139,139,139,139,139,139,,,,
Shangqiu,Henan,商丘,河南省,,,0.0,0.0,0.0,6.0,7.0,14.0,18.0,28.0,30.0,44.0,50.0,61.0,65.0,72.0,76.0,82.0,83.0,86.0,86.0,87.0,88.0,90.0,91.0,91,91,91,91,91,91,91,91,91,91,91,,,,
Zhoukou,Henan,周口市,河南省,,,1.0,4.0,5.0,11.0,15.0,19.0,25.0,36.0,38.0,40.0,47.0,52.0,56.0,59.0,60.0,62.0,62.0,65.0,65.0,66.0,68.0,69.0,70.0,71,75,76,76,76,76,76,76,76,76,76,,,,
Pingdingshan,Henan,平頂山,河南省,,,0.0,1.0,2.0,5.0,5.0,8.0,10.0,11.0,14.0,19.0,28.0,34.0,41.0,46.0,48.0,50.0,52.0,54.0,55.0,56.0,57.0,58.0,58.0,58,58,58,58,58,58,58,58,58,58,58,,,,
Xinxiang,Henan,新鄉,河南省,,,0.0,1.0,3.0,4.0,6.0,7.0,12.0,16.0,22.0,22.0,27.0,33.0,39.0,41.0,41.0,43.0,44.0,46.0,48.0,53.0,54.0,55.0,55.0,56,57,57,57,57,57,57,57,57,57,57,,,,
Anyang,Henan,安陽,河南省,,,0.0,0.0,3.0,7.0,11.0,14.0,17.0,21.0,25.0,25.0,29.0,33.0,35.0,37.0,40.0,43.0,44.0,45.0,46.0,49.0,50.0,50.0,51.0,51,52,52,53,53,53,53,53,53,53,53,,,,
Xu Chang,Henan,許昌,河南省,,,0.0,0.0,0.0,1.0,2.0,2.0,3.0,8.0,12.0,13.0,15.0,19.0,24.0,26.0,28.0,30.0,31.0,31.0,32.0,34.0,34.0,37.0,37.0,38,38,38,39,39,39,39,39,39,39,39,,,,
Luohe,Henan,漯河,河南省,,,0.0,0.0,3.0,6.0,9.0,9.0,11.0,13.0,14.0,16.0,20.0,23.0,24.0,26.0,26.0,29.0,30.0,30.0,31.0,33.0,33.0,33.0,34.0,34,34,34,34,34,34,34,34,34,34,34,,,,
Jiaozuo,Henan,焦作,河南省,,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,7.0,8.0,12.0,15.0,17.0,18.0,20.0,24.0,25.0,28.0,28.0,29.0,29.0,30.0,30,32,32,32,32,32,32,32,32,32,32,,,,
Luoyang,Henan,洛陽,河南省,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,7.0,12.0,17.0,21.0,24.0,25.0,25.0,27.0,28.0,29.0,30.0,30.0,31.0,31,31,31,31,31,31,31,31,31,31,31,,,,
Kaifeng,Henan,開封,河南省,,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,8.0,11.0,12.0,17.0,18.0,20.0,21.0,24.0,24.0,25.0,25.0,25.0,25.0,26.0,26.0,26,26,26,26,26,26,26,26,26,26,26,,,,
Hebi,Henan,鶴壁,河南省,,,0.0,0.0,0.0,2.0,2.0,5.0,6.0,6.0,6.0,8.0,8.0,10.0,10.0,11.0,13.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19,19,19,19,19,19,19,19,19,19,19,,,,
Puyang,Henan,濮陽,河南省,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,9.0,10.0,11.0,13.0,13.0,13.0,17.0,17,17,17,17,17,17,17,17,17,17,17,,,,
Sanmenxia,Henan,三門峽,河南省,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7,7,7,7,7,7,7,,,,
Jiyuan,Henan,濟源,河南省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,5,5,5,5,5,5,5,5,5,5,,,,
Wuhan,Hubei,武汉市,湖北省,363.0,425.0,495.0,572.0,618.0,698.0,1590.0,1905.0,2261.0,2639.0,3215.0,4109.0,5142.0,6384.0,8351.0,10117.0,11618.0,13603.0,14982.0,16902.0,18454.0,19558.0,32994.0,35991.0,37914.0,39462,41152,42752,44412,45027,45346,45660,46201,46607,47071,47441,,,,
Huangshi,Hubei,黄石市,湖北省,0.0,0.0,0.0,0.0,31.0,36.0,53.0,86.0,113.0,168.0,209.0,252.0,334.0,405.0,509.0,566.0,635.0,703.0,760.0,805.0,835.0,874.0,911.0,943.0,980.0,988,983,985,983,967,974,997,1001,1005,1008,1011,,,,
Shiyan,Hubei,十堰市,湖北省,0.0,0.0,1.0,5.0,20.0,40.0,65.0,88.0,119.0,150.0,177.0,212.0,256.0,291.0,318.0,353.0,395.0,438.0,467.0,481.0,505.0,536.0,562.0,586.0,597.0,602,612,626,638,641,654,659,667,669,671,671,,,,
Yichang,Hubei,宜昌市,湖北省,0.0,0.0,1.0,1.0,20.0,31.0,51.0,63.0,117.0,167.0,276.0,353.0,392.0,452.0,496.0,563.0,610.0,633.0,711.0,749.0,772.0,784.0,810.0,877.0,906.0,901,895,904,907,891,895,914,917,924,926,927,,,,
Xiangyang,Hubei,襄阳市,湖北省,0.0,0.0,0.0,0.0,2.0,36.0,70.0,131.0,163.0,286.0,347.0,441.0,548.0,632.0,735.0,787.0,838.0,907.0,988.0,1019.0,1063.0,1088.0,1101.0,1111.0,1128.0,1144,1155,1163,1165,1167,1170,1173,1173,1174,1175,1175,,,,
Ezhou,Hubei,鄂州市,湖北省,0.0,0.0,0.0,1.0,1.0,20.0,57.0,84.0,123.0,189.0,227.0,278.0,306.0,332.0,382.0,423.0,471.0,569.0,639.0,725.0,790.0,861.0,1065.0,1125.0,1192.0,1230,1274,1339,1343,1338,1343,1375,1379,1383,1385,1387,,,,
Jingmen,Hubei,荆门市,湖北省,0.0,1.0,8.0,21.0,38.0,90.0,114.0,142.0,191.0,227.0,251.0,329.0,345.0,400.0,422.0,508.0,553.0,588.0,663.0,641.0,656.0,696.0,927.0,901.0,902.0,909,915,900,901,794,800,914,918,920,920,922,,,,
Xiaogan,Hubei,孝感市,湖北省,0.0,0.0,22.0,26.0,55.0,100.0,173.0,274.0,399.0,541.0,628.0,749.0,918.0,1120.0,1462.0,1886.0,2141.0,2313.0,2436.0,2541.0,2642.0,2751.0,2874.0,3009.0,3114.0,3201,3279,3320,3344,3329,3346,3429,3443,3465,3482,3501,,,,
Jingzhou,Hubei,荆州市,湖北省,0.0,6.0,8.0,10.0,33.0,47.0,71.0,101.0,151.0,221.0,287.0,333.0,499.0,613.0,713.0,801.0,885.0,941.0,997.0,1045.0,1075.0,1110.0,1431.0,1447.0,1478.0,1490,1501,1537,1541,1510,1517,1566,1574,1574,1576,1577,,,,
Huanggang,Hubei,黄冈市,湖北省,12.0,12.0,12.0,64.0,122.0,154.0,213.0,324.0,496.0,573.0,726.0,1002.0,1246.0,1422.0,1645.0,1807.0,1897.0,2041.0,2141.0,2252.0,2332.0,2398.0,2662.0,2791.0,2817.0,2823,2831,2828,2844,2839,2856,2899,2904,2904,2904,2904,,,,
Xianning,Hubei,咸宁市,湖北省,0.0,0.0,0.0,0.0,43.0,64.0,91.0,112.0,130.0,166.0,206.0,246.0,296.0,348.0,384.0,399.0,443.0,476.0,493.0,507.0,515.0,525.0,534.0,732.0,840.0,852,861,868,832,766,766,836,836,836,836,836,,,,
Suizhou,Hubei,随州市,湖北省,0.0,0.0,0.0,5.0,36.0,52.0,70.0,116.0,143.0,228.0,304.0,384.0,458.0,641.0,706.0,834.0,915.0,953.0,984.0,1049.0,1095.0,1129.0,1160.0,1206.0,1232.0,1254,1267,1278,1280,1283,1287,1296,1300,1303,1305,1306,,,,
Enshi Tujia and Miao Autonomous Prefecture,Hubei,恩施土家族苗族自治州,湖北省,0.0,0.0,0.0,11.0,17.0,25.0,38.0,51.0,66.0,75.0,87.0,105.0,111.0,123.0,138.0,144.0,157.0,160.0,171.0,187.0,195.0,203.0,229.0,237.0,244.0,247,249,250,249,244,245,251,251,251,251,251,,,,
Xiantao,Hubei,仙桃市,湖北省,0.0,0.0,2.0,10.0,11.0,12.0,27.0,32.0,55.0,90.0,97.0,140.0,169.0,188.0,225.0,265.0,307.0,359.0,379.0,416.0,438.0,460.0,480.0,500.0,514.0,523,531,544,562,567,568,571,571,573,575,575,,,,
Qianjiang,Hubei,潜江市,湖北省,0.0,0.0,0.0,0.0,0.0,5.0,7.0,8.0,10.0,12.0,27.0,35.0,35.0,44.0,54.0,64.0,74.0,80.0,82.0,85.0,90.0,90.0,94.0,104.0,116.0,166,182,185,185,185,188,189,191,194,195,196,,,,
Tianmen,Hubei,天门市,湖北省,0.0,0.0,0.0,3.0,5.0,13.0,23.0,34.0,44.0,67.0,82.0,99.0,115.0,117.0,128.0,138.0,163.0,179.0,197.0,217.0,261.0,293.0,362.0,416.0,422.0,447,485,500,486,473,477,493,494,494,495,496,,,,
Shennongjia,Hubei,神农架林区,湖北省,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10,10,10,10,10,11,11,11,11,11,,,,
Changsha,Hunan,长沙市,湖南省,,,8.0,8.0,18.0,22.0,24.0,46.0,57.0,68.0,86.0,112.0,125.0,148.0,164.0,179.0,190.0,196.0,205.0,213.0,219.0,223.0,228.0,238.0,241.0,241,241,241,241,242,242,242,242,242,242,242,242.0,242.0,242.0,242.0
Hengyang,Hunan,衡阳市,湖南省,,,0.0,3.0,3.0,4.0,7.0,17.0,20.0,25.0,26.0,30.0,32.0,35.0,39.0,43.0,43.0,43.0,45.0,45.0,45.0,45.0,45.0,46.0,47.0,47,48,48,48,48,48,48,48,48,48,48,48.0,48.0,48.0,48.0
Zhuzhou,Hunan,株洲市,湖南省,,,1.0,1.0,3.0,5.0,7.0,13.0,18.0,19.0,22.0,25.0,26.0,34.0,38.0,41.0,46.0,48.0,58.0,61.0,68.0,71.0,75.0,77.0,78.0,78,78,78,78,78,78,79,80,80,80,80,80.0,80.0,80.0,80.0
Xiangtan,Hunan,湘潭市,湖南省,,,1.0,2.0,3.0,4.0,6.0,8.0,9.0,10.0,13.0,16.0,19.0,21.0,23.0,24.0,25.0,28.0,28.0,31.0,32.0,32.0,32.0,34.0,35.0,35,35,35,35,35,35,36,36,36,36,36,36.0,36.0,36.0,36.0
Shaoyang,Hunan,邵阳市,湖南省,,,0.0,2.0,2.0,8.0,11.0,19.0,29.0,36.0,41.0,49.0,51.0,55.0,68.0,74.0,83.0,86.0,87.0,89.0,91.0,94.0,99.0,100.0,100.0,101,101,101,102,102,102,102,102,102,102,102,102.0,102.0,102.0,102.0
Yueyang,Hunan,岳阳市,湖南省,,,3.0,5.0,6.0,7.0,17.0,26.0,29.0,37.0,45.0,53.0,70.0,83.0,89.0,93.0,107.0,111.0,115.0,124.0,134.0,146.0,148.0,149.0,153.0,154,154,155,155,156,156,156,156,156,156,156,156.0,156.0,156.0,156.0
Changde,Hunan,常德市,湖南省,,,0.0,3.0,7.0,12.0,19.0,26.0,30.0,37.0,39.0,42.0,45.0,50.0,56.0,62.0,64.0,66.0,66.0,72.0,73.0,75.0,77.0,78.0,78.0,79,79,79,79,79,80,80,82,82,82,82,82.0,82.0,82.0,82.0
Zhangjiajie,Hunan,张家界市,湖南省,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0
